task_id,episode_index,control_step,episode_success,phase,target_lag1_exact,target_lag1_prefix,previous_dflash_exact,previous_dflash_prefix,continuous_l2,action_norm,pixel_relative_l2,prompt_cosine,gripper_switch,distant_continuous_l2
0,0,1,True,early,0,0,,,0.14708420701843022,0.2361244959825087,0.006427724798034069,,0,0.778005660068973
0,0,2,True,early,0,0,,,0.14708420701843022,0.10722081866134438,0.021606430416519048,,0,0.6687398197129272
0,0,3,True,early,1,7,,,0.0,0.10722081866134438,0.024883523656025922,,0,2.1087222450020997
0,0,4,True,early,1,7,,,0.0,0.10722081866134438,0.01263563882665437,,0,2.098497089339883
0,0,5,True,early,0,1,,,0.07068037814203196,0.15167666969556182,0.006695287462001595,,0,2.0300017996016275
0,0,6,True,early,0,0,,,0.2528294067767882,0.2401304797803179,0.010364449696838281,,0,2.0442016098832676
0,0,7,True,early,0,0,,,0.10990264966694674,0.13965010006942646,0.010672465602165877,,0,2.0075460668453062
0,0,8,True,early,1,7,,,0.0,0.13965010006942646,0.017137861979275328,,0,2.0043103358155907
0,0,9,True,early,0,0,,,0.40169783676961646,0.5057361627454207,0.013674727425083322,,0,2.053767512222768
0,0,10,True,early,0,0,,,0.40169783676961646,0.13965010006942646,0.013322550035307816,,0,2.003541601857415
0,0,11,True,early,0,0,,,0.8899688500666559,0.9681568951934294,0.013000616968803225,,0,2.2109007358529276
0,0,12,True,early,1,7,,,0.0,0.9681568951934294,0.021508233070604257,,0,2.216590663590257
0,0,13,True,early,0,0,,,0.37413201601828755,0.6200397853997122,0.02277256551008248,,0,2.0754193893683928
0,0,14,True,early,0,0,,,0.5209755986041716,1.055260399913458,0.027559553513965326,,0,2.285140134628387
0,0,15,True,early,0,0,,,0.06531495197646972,1.0182630336643765,0.059764243253462496,,0,2.197420244069743
0,0,16,True,early,0,1,,,0.09151452561543491,1.061612052377603,0.07921567304091241,,0,2.225836104023299
0,0,17,True,early,0,0,,,0.06168332515620717,1.0655566075680514,0.041959503822928866,,0,2.328428378638657
0,0,18,True,early,0,2,,,0.022011367079831114,1.0670797813079724,0.03385823458741782,,0,2.346822525432384
0,0,19,True,early,0,0,,,0.1473877623967458,1.0797660585804054,0.07024179710662988,,0,2.3227180452092044
0,0,20,True,early,0,0,,,0.1501309701813166,1.0796611696627092,0.05895437694115726,,0,2.383894484872628
0,0,21,True,early,0,0,,,0.16745920358561267,1.0280963956031541,0.07684794241210884,,0,2.287020343183874
0,0,22,True,early,0,1,,,0.12244858193214325,1.0724700798074471,0.058262308041024766,,0,2.2406540214533366
0,0,23,True,early,0,1,,,0.19168942846154777,1.0173319351956673,0.10223343747763666,,0,2.1776629669016647
0,0,24,True,early,0,0,,,0.8638178974594114,1.2724549285579898,0.10107515382992852,,0,2.578845159632784
0,0,25,True,early,0,1,,,0.06814373897455371,1.2540847937405444,0.0736792508098869,,0,2.5702279827698815
0,0,26,True,early,0,0,,,0.2058156291262124,1.1887920715978963,0.10969449755627919,,0,2.3941169312733077
0,0,27,True,early,0,0,,,0.280976287545469,1.069727232065203,0.09541784764857922,,0,2.232459851514263
0,0,28,True,early,0,0,,,0.2042395473049267,1.0316621879320433,0.11942886445368044,,0,2.23602243647955
0,0,29,True,middle,0,0,,,0.15378259664551389,0.9887535225106912,0.1253530481648229,,0,2.3098902671523605
0,0,30,True,middle,0,0,,,0.21989571446378306,0.9665852502215904,0.08263770121097817,,0,2.337330200152862
0,0,31,True,middle,0,0,,,0.20737795084769953,0.9414226013538616,0.11245000342483809,,0,2.336554285765314
0,0,32,True,middle,0,1,,,0.12434402729059117,0.935075559315409,0.1262506039243409,,0,2.0861530152628536
0,0,33,True,middle,0,0,,,0.30903125810916016,0.9821326896645445,0.10828280175731504,,0,2.0780790019540873
0,0,34,True,middle,0,0,,,0.7150883331251651,1.2371352209356505,0.11533416238635186,,0,2.2353213032218378
0,0,35,True,middle,0,0,,,0.18483102003938637,1.227285327632623,0.11904930570344055,,0,2.1532577104989787
0,0,36,True,middle,0,0,,,0.25587392690136584,1.0876040985908009,0.11080485459176351,,0,2.0770469724657277
0,0,37,True,middle,1,7,,,0.0,1.0876040985908009,0.10155694506212903,,0,2.0342291374980888
0,0,38,True,middle,0,0,,,0.07669123726469274,1.0637665478205287,0.08266871297849634,,0,2.0294689245443847
0,0,39,True,middle,0,0,,,0.07753845859046282,1.0734384368628782,0.11754408407628537,,0,2.038467522711967
0,0,40,True,middle,0,0,,,0.11340609713574541,1.0293780874968221,0.08411474120063554,,0,2.089277200412032
0,0,41,True,middle,0,0,,,0.6511723842248032,1.1848949823974213,0.0980808856242944,,0,2.004017490946853
0,0,42,True,middle,0,0,,,0.7720775590689579,0.8179736372567027,0.06676861059251382,,0,2.1137221583146295
0,0,43,True,middle,0,1,,,0.14135510176107555,0.7358792232523766,0.08084448947801547,,0,0.7411826351564018
0,0,44,True,middle,0,2,,,0.07331932759752469,0.6625607116823016,0.10514201727016789,,0,0.7085752678098342
0,0,45,True,middle,0,0,,,2.0095076325001027,0.6628337134342548,0.07288589219457445,,1,2.1087222450020997
0,0,46,True,middle,0,0,,,0.04403584862834114,0.6294264764282488,0.08933669397742643,,0,2.098497089339883
0,0,47,True,middle,0,2,,,0.37582533617927166,0.30639582591581027,0.05778601867211942,,0,2.025657475534382
0,0,48,True,middle,0,0,,,0.19379346585398452,0.20667163571120123,0.04090428778880791,,0,2.0175158702252287
0,0,49,True,middle,0,1,,,0.20705216495871268,0.0793483816630965,0.018815531651370065,,0,2.0170484340014387
