lag,episode_outcome,transitions,exact_rate,mean_prefix,median_continuous_l2
1,failure,219,0.2237442922374429,2.1689497716894977,0.16183816071051954
1,success,455,0.13846153846153847,1.4527472527472527,0.14847919439186322
2,failure,218,0.13302752293577982,1.1926605504587156,0.284858584970181
2,success,450,0.06,0.7066666666666667,0.2304796479051316
3,failure,217,0.12903225806451613,1.1566820276497696,0.33897354284782577
3,success,445,0.02696629213483146,0.4157303370786517,0.3033307612667111
4,failure,216,0.125,1.1527777777777777,0.39373461184792624
4,success,440,0.029545454545454545,0.3886363636363636,0.38171232325552507
