task_id,episode_index,control_step,episode_success,phase,lag,token_exact,token_common_prefix,continuous_l2,continuous_cosine,action_norm,gripper_switch
0,0,1,True,early,1,0,0,0.14708420701843022,0.9897618684704702,0.2361244959825087,0
0,0,2,True,early,1,0,0,0.14708420701843022,0.9897618684704702,0.10722081866134438,0
0,0,2,True,early,2,1,7,0.0,1.0,0.10722081866134438,0
0,0,3,True,early,1,1,7,0.0,1.0,0.10722081866134438,0
0,0,3,True,early,2,0,0,0.14708420701843022,0.9897618684704702,0.10722081866134438,0
0,0,3,True,early,3,1,7,0.0,1.0,0.10722081866134438,0
0,0,4,True,early,1,1,7,0.0,1.0,0.10722081866134438,0
0,0,4,True,early,2,1,7,0.0,1.0,0.10722081866134438,0
0,0,4,True,early,3,0,0,0.14708420701843022,0.9897618684704702,0.10722081866134438,0
0,0,4,True,early,4,1,7,0.0,1.0,0.10722081866134438,0
0,0,5,True,early,1,0,1,0.07068037814203196,0.9975604648433529,0.15167666969556182,0
0,0,5,True,early,2,0,1,0.07068037814203196,0.9975604648433529,0.15167666969556182,0
0,0,5,True,early,3,0,1,0.07068037814203196,0.9975604648433529,0.15167666969556182,0
0,0,5,True,early,4,0,0,0.14190794562626555,0.9904354779298008,0.15167666969556182,0
0,0,6,True,early,1,0,0,0.2528294067767882,0.9694122888544406,0.2401304797803179,0
0,0,6,True,early,2,0,0,0.24684468827242048,0.9707938067495178,0.2401304797803179,0
0,0,6,True,early,3,0,0,0.24684468827242048,0.9707938067495178,0.2401304797803179,0
0,0,6,True,early,4,0,0,0.24684468827242048,0.9707938067495178,0.2401304797803179,0
0,0,7,True,early,1,0,0,0.10990264966694674,0.9943528741849056,0.13965010006942646,0
0,0,7,True,early,2,0,0,0.19678041938713067,0.9810431165579584,0.13965010006942646,0
0,0,7,True,early,3,0,0,0.17978186186857356,0.9840935428202109,0.13965010006942646,0
0,0,7,True,early,4,0,0,0.17978186186857356,0.9840935428202109,0.13965010006942646,0
0,0,8,True,early,1,1,7,0.0,0.9999999999999998,0.13965010006942646,0
0,0,8,True,early,2,0,0,0.10990264966694674,0.9943528741849056,0.13965010006942646,0
0,0,8,True,early,3,0,0,0.19678041938713067,0.9810431165579584,0.13965010006942646,0
0,0,8,True,early,4,0,0,0.17978186186857356,0.9840935428202109,0.13965010006942646,0
0,0,9,True,early,1,0,0,0.40169783676961646,0.934130489358446,0.5057361627454207,0
0,0,9,True,early,2,0,0,0.40169783676961646,0.934130489358446,0.5057361627454207,0
0,0,9,True,early,3,0,0,0.3033307612667111,0.9637682854126975,0.5057361627454207,0
0,0,9,True,early,4,0,0,0.458864953361449,0.9123728260771626,0.5057361627454207,0
0,0,10,True,early,1,0,0,0.40169783676961646,0.934130489358446,0.13965010006942646,0
0,0,10,True,early,2,1,7,0.0,0.9999999999999998,0.13965010006942646,0
0,0,10,True,early,3,1,7,0.0,0.9999999999999998,0.13965010006942646,0
0,0,10,True,early,4,0,0,0.10990264966694674,0.9943528741849056,0.13965010006942646,0
0,0,11,True,early,1,0,0,0.8899688500666559,0.7701746558527311,0.9681568951934294,0
0,0,11,True,early,2,0,0,0.5109626520473622,0.9398955697848899,0.9681568951934294,0
0,0,11,True,early,3,0,0,0.8899688500666559,0.7701746558527311,0.9681568951934294,0
0,0,11,True,early,4,0,0,0.8899688500666559,0.7701746558527311,0.9681568951934294,0
0,0,12,True,early,1,1,7,0.0,1.0,0.9681568951934294,0
