source,stage,label,calls,mean_ms_per_call,total_ms,mean_ms_per_action
plain_dflash,target_prefill,Target prefill,315,53.08546650127345,16721.921947901137,53.08546650127345
plain_dflash,target_anchor,Target anchor,942,17.799274667191877,16766.91673649475,53.22830709998333
plain_dflash,draft_backbone,Parallel draft,942,1.3749450018813323,1295.198191772215,4.111740291340365
plain_dflash,action_head,Draft head,942,0.03737648983630342,35.20865342579782,0.1117735029390407
plain_dflash,verify_prepare,Verify setup,942,0.027873331133173404,26.256677927449346,0.0833545331030138
plain_dflash,target_verify,Target verify,741,18.484249698939543,13696.829026914202,43.48199691083874
plain_dflash,accept_select,Accept / correct,942,0.09765539176449686,91.99137904215604,0.2920361239433525
plain_dflash,cache_commit,KV commit,942,0.3192888380269542,300.77008542139083,0.9548256680044154
vtpf_parity,target_prefill,Target prefill,3,100.24757136125118,300.7427140837535,0.9339835841110358
vtpf_parity,target_ar_reference_prefill,Independent AR prefill,322,52.56032555939641,16924.424830125645,52.56032555939641
vtpf_parity,target_ar_reference_tail,6-step target AR tail,322,105.94807736472927,34115.280911442824,105.94807736472927
vtpf_parity,target_anchor,Target anchor,742,17.76028132302099,13178.128741681576,40.9258656573962
vtpf_parity,draft_backbone,Parallel draft,742,1.3806284322137279,1024.4262967025861,3.181448126405547
vtpf_parity,action_head,Draft head,742,0.03944035237303601,29.26474146079272,0.09088429025090906
vtpf_parity,verify_prepare,Verify setup,742,0.027182017141737225,20.16905671916902,0.06263682210922056
vtpf_parity,target_verify,Target verify,555,18.500983702262175,10268.045954755507,31.888341474395986
vtpf_parity,accept_select,Accept / correct,742,0.09175527758012723,68.08241596445441,0.21143607442377146
vtpf_parity,cache_commit,KV commit,742,0.3155136399028818,234.11112080793828,0.7270531702109885
vtpf_parity,target_prefill_fused,Fused target prefill,319,52.63566213979628,16790.776222595014,52.1452677720342
