source,stage,label,calls,mean_ms_per_call,total_ms,mean_ms_per_action
plain_dflash,target_prefill,Target prefill,900,52.59599587414414,47336.39628672972,52.59599587414414
plain_dflash,target_anchor,Target anchor,3221,17.7540917335369,57185.92947372235,63.539921637469284
plain_dflash,draft_backbone,Parallel draft,3221,1.3541548843363989,4361.732882447541,4.846369869386156
plain_dflash,action_head,Draft head,3221,0.03484910860303784,112.24897881038487,0.1247210875670943
plain_dflash,verify_prepare,Verify setup,3221,0.020957915997147115,67.50544742681086,0.07500605269645651
plain_dflash,target_verify,Target verify,1852,18.536227275821084,34329.09291482065,38.14343657202294
plain_dflash,accept_select,Accept / correct,3221,0.07213139433057522,232.3352211387828,0.25815024570975864
plain_dflash,cache_commit,KV commit,3221,0.2848814235877585,917.60306537617,1.0195589615290777
vtpf_parity,target_prefill,Target prefill,3,102.78039429492007,308.3411828847602,0.3942981878321742
vtpf_parity,target_ar_reference_prefill,Independent AR prefill,782,52.450450189063886,41016.25204784796,52.450450189063886
vtpf_parity,target_ar_reference_tail,6-step target AR tail,782,105.84935808629918,82774.19802348595,105.84935808629918
vtpf_parity,target_anchor,Target anchor,1848,17.722913952233387,32751.9449837273,41.88228258788657
vtpf_parity,draft_backbone,Parallel draft,1848,1.3622986947768871,2517.5279879476875,3.2193452531300353
vtpf_parity,action_head,Draft head,1848,0.036975994526743244,68.33163788542151,0.08738061110667712
vtpf_parity,verify_prepare,Verify setup,1848,0.022081940967057432,40.807426907122135,0.052183410367163854
vtpf_parity,target_verify,Target verify,1109,18.464311737965247,20476.921717403457,26.18532188926273
vtpf_parity,accept_select,Accept / correct,1848,0.0774226023148326,143.07696907781065,0.1829628760585814
vtpf_parity,cache_commit,KV commit,1848,0.2781983053722939,514.1104683279991,0.657430266404091
vtpf_parity,target_prefill_fused,Fused target prefill,779,52.517951367212525,40911.484115058556,52.31647585045851
