task_id,episode_index,control_step,episode_success,phase,lag,token_exact,token_common_prefix,continuous_l2,continuous_cosine,action_norm,gripper_switch
0,0,1,False,early,1,1,7,0.0,1.0000000000000002,0.0508374936221709,0
0,0,2,False,early,1,0,0,0.2548410868579623,0.9698814414563521,0.3034601746539035,0
0,0,2,False,early,2,0,0,0.2548410868579623,0.9698814414563521,0.3034601746539035,0
0,0,3,False,early,1,0,0,0.10154246292500446,0.9952855303707148,0.26276325161524267,0
0,0,3,False,early,2,0,0,0.21304500270120696,0.9785942996697838,0.26276325161524267,0
0,0,3,False,early,3,0,0,0.21304500270120696,0.9785942996697838,0.26276325161524267,0
0,0,4,False,early,1,0,0,0.21983750471125885,0.9802049830675758,0.4427450693246603,0
0,0,4,False,early,2,0,0,0.148970304227029,0.9913243514034271,0.4427450693246603,0
0,0,4,False,early,3,0,0,0.3948595688439651,0.9327020729701903,0.4427450693246603,0
0,0,4,False,early,4,0,0,0.3948595688439651,0.9327020729701903,0.4427450693246603,0
0,0,5,False,early,1,0,0,0.20152512094899896,0.9829104601892402,0.41848244725271827,0
0,0,5,False,early,2,0,0,0.26020572716878737,0.9709152042529176,0.41848244725271827,0
0,0,5,False,early,3,0,0,0.21966518932602108,0.9793742816165246,0.41848244725271827,0
0,0,5,False,early,4,0,0,0.3780644718717847,0.9373123074145493,0.41848244725271827,0
0,0,6,False,early,1,0,0,0.35471450202423815,0.9596855227060833,0.7022424179231795,0
0,0,6,False,early,2,0,0,0.2727294860321071,0.9783302599761349,0.7022424179231795,0
0,0,6,False,early,3,0,0,0.4635193630324847,0.928959898484458,0.7022424179231795,0
0,0,6,False,early,4,0,0,0.4053815548468941,0.9479093508733754,0.7022424179231795,0
0,0,7,False,early,1,0,0,0.031434006249628214,0.9996709162219466,0.7056251856396778,0
0,0,7,False,early,2,0,0,0.3579107080697671,0.9590951116062345,0.7056251856396778,0
0,0,7,False,early,3,0,0,0.28233522751108053,0.9765610822823441,0.7056251856396778,0
0,0,7,False,early,4,0,0,0.4631790799489507,0.9294882965329131,0.7056251856396778,0
0,0,8,False,early,1,0,0,0.15910538063749355,0.9915869312439388,0.7132626408321924,0
0,0,8,False,early,2,0,1,0.16812894345180784,0.9905968536624588,0.7132626408321924,0
0,0,8,False,early,3,0,0,0.3870361668041297,0.9515664014164611,0.7132626408321924,0
0,0,8,False,early,4,0,0,0.327090078977768,0.9669291732146028,0.7132626408321924,0
0,0,9,False,early,1,1,7,0.0,0.9999999999999999,0.7132626408321924,0
0,0,9,False,early,2,0,0,0.15910538063749355,0.9915869312439388,0.7132626408321924,0
0,0,9,False,early,3,0,1,0.16812894345180784,0.9905968536624588,0.7132626408321924,0
0,0,9,False,early,4,0,0,0.3870361668041297,0.9515664014164611,0.7132626408321924,0
0,0,10,False,early,1,0,2,0.053846398334877296,0.9990435688636409,0.704580194907065,0
0,0,10,False,early,2,0,2,0.053846398334877296,0.9990435688636409,0.704580194907065,0
0,0,10,False,early,3,0,0,0.10987357811616169,0.9959684466744438,0.704580194907065,0
0,0,10,False,early,4,0,1,0.12340008791556956,0.9949070458801345,0.704580194907065,0
0,0,11,False,early,1,0,2,0.08287843707889837,0.9977029143274558,0.6973080607945473,0
0,0,11,False,early,2,0,2,0.1365561297996793,0.9938017843524364,0.6973080607945473,0
0,0,11,False,early,3,0,2,0.1365561297996793,0.9938017843524364,0.6973080607945473,0
0,0,11,False,early,4,0,0,0.05170693632380667,0.9991117004429151,0.6973080607945473,0
0,0,12,False,early,1,1,7,0.0,1.0,0.6973080607945473,0
0,0,12,False,early,2,0,2,0.08287843707889837,0.9977029143274558,0.6973080607945473,0
0,0,12,False,early,3,0,2,0.1365561297996793,0.9938017843524364,0.6973080607945473,0
0,0,12,False,early,4,0,2,0.1365561297996793,0.9938017843524364,0.6973080607945473,0
0,0,13,False,early,1,0,0,0.10637650972219682,0.9964853154468557,0.6358734832075051,0
0,0,13,False,early,2,0,0,0.10637650972219682,0.9964853154468557,0.6358734832075051,0
0,0,13,False,early,3,0,0,0.15550665023242777,0.9921636724955776,0.6358734832075051,0
0,0,13,False,early,4,0,0,0.19979392081338787,0.9869312139738848,0.6358734832075051,0
0,0,14,False,early,1,0,0,0.07114368381392672,0.9985760548634116,0.6918347397549977,0
0,0,14,False,early,2,0,0,0.07775910065181552,0.9979639104694072,0.6918347397549977,0
0,0,14,False,early,3,0,0,0.07775910065181552,0.9979639104694072,0.6918347397549977,0
0,0,14,False,early,4,0,0,0.13970077140592252,0.9934578259053866,0.6918347397549977,0
0,0,15,False,early,1,0,4,0.011906333693337386,0.9999520679802614,0.6915083566891167,0
0,0,15,False,early,2,0,0,0.07213310286292335,0.9985226660557512,0.6915083566891167,0
0,0,15,False,early,3,0,0,0.0680317980880525,0.9984423947817072,0.6915083566891167,0
0,0,15,False,early,4,0,0,0.0680317980880525,0.9984423947817072,0.6915083566891167,0
0,0,16,False,early,1,0,0,0.010032603083597484,0.9999711621013208,0.6983234757592414,0
0,0,16,False,early,2,0,0,0.014806780386344816,0.9999307126720385,0.6983234757592414,0
0,0,16,False,early,3,0,0,0.07923307185791162,0.9982436070043386,0.6983234757592414,0
0,0,16,False,early,4,0,2,0.06992657953041558,0.9983558966519117,0.6983234757592414,0
0,0,17,False,early,1,0,1,0.01455237249330485,0.9999289631974083,0.6993069007006295,0
0,0,17,False,early,2,0,0,0.021564326317937504,0.9998499605094024,0.6993069007006295,0
0,0,17,False,early,3,0,0,0.019873508067522288,0.999873047145967,0.6993069007006295,0
0,0,17,False,early,4,0,0,0.0791598643149806,0.9982620342577001,0.6993069007006295,0
0,0,18,False,early,1,0,0,0.2169413207692966,0.9863374137155568,0.5088449482771981,0
0,0,18,False,early,2,0,0,0.21749074545378902,0.9862035747076258,0.5088449482771981,0
0,0,18,False,early,3,0,0,0.21072587056569367,0.9869482846920957,0.5088449482771981,0
0,0,18,False,early,4,0,0,0.21081275688087991,0.9869496306776606,0.5088449482771981,0
0,0,19,False,early,1,0,0,0.20933333514652325,0.9872496726649269,0.6934270043362283,0
0,0,19,False,early,2,0,0,0.008464046248265968,0.9999796792798828,0.6934270043362283,0
0,0,19,False,early,3,0,0,0.017956096819012852,0.9998940203821071,0.6934270043362283,0
0,0,19,False,early,4,0,1,0.021516833528164164,0.999843941414509,0.6934270043362283,0
0,0,20,False,early,1,0,0,0.007529846054151236,0.9999850685548736,0.6871772997443687,0
0,0,20,False,early,2,0,0,0.20193951271986715,0.9880863749346119,0.6871772997443687,0
0,0,20,False,early,3,0,0,0.015805793854799115,0.9999317614238136,0.6871772997443687,0
0,0,20,False,early,4,0,0,0.02279464850490766,0.9998380619061692,0.6871772997443687,0
0,0,21,False,early,1,1,7,0.0,1.0000000000000002,0.6871772997443687,0
0,0,21,False,early,2,0,0,0.007529846054151236,0.9999850685548736,0.6871772997443687,0
0,0,21,False,early,3,0,0,0.20193951271986715,0.9880863749346119,0.6871772997443687,0
0,0,21,False,early,4,0,0,0.015805793854799115,0.9999317614238136,0.6871772997443687,0
0,0,22,False,early,1,0,0,0.0379306577532522,0.9996060180789511,0.6563689634781712,0
0,0,22,False,early,2,0,0,0.0379306577532522,0.9996060180789511,0.6563689634781712,0
0,0,22,False,early,3,0,0,0.04541000673522473,0.9994392848372732,0.6563689634781712,0
0,0,22,False,early,4,0,0,0.16506505896081147,0.9918978979181465,0.6563689634781712,0
0,0,23,False,early,1,0,0,0.03608941752129087,0.999603938909662,0.6314601854667821,0
0,0,23,False,early,2,0,0,0.07105983184561798,0.9985682124826023,0.6314601854667821,0
0,0,23,False,early,3,0,0,0.07105983184561798,0.9985682124826023,0.6314601854667821,0
0,0,23,False,early,4,0,0,0.07813883992200193,0.9982854826155616,0.6314601854667821,0
0,0,24,False,early,1,0,0,0.03522397942179005,0.9995677738170227,0.6198570445491909,0
0,0,24,False,early,2,0,0,0.06833247479647554,0.9984780966451287,0.6198570445491909,0
0,0,24,False,early,3,0,0,0.09794632371258705,0.9971146388009928,0.6198570445491909,0
0,0,24,False,early,4,0,0,0.09794632371258705,0.9971146388009928,0.6198570445491909,0
0,0,25,False,early,1,0,0,0.3584885147055271,0.9529710287877196,0.41858421693370823,0
0,0,25,False,early,2,0,0,0.3843560159574652,0.9461806413375126,0.41858421693370823,0
0,0,25,False,early,3,0,0,0.4181961530932764,0.9374110644903334,0.41858421693370823,0
0,0,25,False,early,4,0,0,0.4513849050007041,0.9289028546855168,0.41858421693370823,0
0,0,26,False,early,1,0,0,0.3230468043466867,0.9616682346360395,0.605384217955953,0
0,0,26,False,early,2,0,0,0.04881874871898626,0.9991543427329683,0.605384217955953,0
0,0,26,False,early,3,0,0,0.08365051816112047,0.997537355637017,0.605384217955953,0
0,0,26,False,early,4,0,0,0.11606498493319135,0.9954475391112214,0.605384217955953,0
0,0,27,False,early,1,0,0,0.030284145567756104,0.9996700643606448,0.5969771068483357,0
0,0,27,False,early,2,0,0,0.3025245327003557,0.9663260305472555,0.5969771068483357,0
0,0,27,False,early,3,0,0,0.07853556969827513,0.9978009493839796,0.5969771068483357,0
0,0,27,False,early,4,0,0,0.11321922754606392,0.9954650295650863,0.5969771068483357,0
0,0,28,False,early,1,0,0,0.041355235165939024,0.9994243665786882,0.5714363980385304,0
0,0,28,False,early,2,0,0,0.06777999923106251,0.9984039326484994,0.5714363980385304,0
0,0,28,False,early,3,0,0,0.2643959929398665,0.9738406841533972,0.5714363980385304,0
0,0,28,False,early,4,0,0,0.11337564606085315,0.9954835545971815,0.5714363980385304,0
0,0,29,False,early,1,0,0,0.33570307576710556,0.956580384408763,0.4655816513598359,0
0,0,29,False,early,2,0,0,0.37296710863109134,0.9473354697458841,0.4655816513598359,0
0,0,29,False,early,3,0,0,0.39875661933614814,0.9400273667784351,0.4655816513598359,0
0,0,29,False,early,4,0,0,0.15431195741732603,0.9901944132133748,0.4655816513598359,0
0,0,30,False,early,1,0,0,0.22356597371668493,0.9804036246630669,0.5347408735770197,0
0,0,30,False,early,2,0,0,0.17204881477436584,0.9887888597202203,0.5347408735770197,0
0,0,30,False,early,3,0,0,0.1938458133155486,0.986129544233399,0.5347408735770197,0
0,0,30,False,early,4,0,0,0.2161991560503791,0.9828309094828335,0.5347408735770197,0
0,0,31,False,early,1,0,0,0.22155405330433572,0.9809235059491532,0.4341966116006022,0
0,0,31,False,early,2,0,0,0.07697223605327977,0.9976055550489146,0.4341966116006022,0
0,0,31,False,early,3,0,0,0.3019673911341795,0.9651990715945636,0.4341966116006022,0
0,0,31,False,early,4,0,0,0.3412999569137512,0.9563103640368317,0.4341966116006022,0
0,0,32,False,early,1,0,0,0.10649929791061617,0.9958793618125054,0.5160265986507593,0
0,0,32,False,early,2,0,0,0.1594035614797847,0.9900735908597138,0.5160265986507593,0
0,0,32,False,early,3,0,0,0.1105497676230345,0.9952760523553553,0.5160265986507593,0
0,0,32,False,early,4,0,0,0.25800374899625417,0.9745900626167529,0.5160265986507593,0
0,0,33,False,early,1,0,0,0.1368539550659709,0.9927087526104462,0.455613797190652,0
0,0,33,False,early,2,0,0,0.12463249236012867,0.9935487282013531,0.455613797190652,0
0,0,33,False,early,3,0,0,0.1772434400098676,0.9878892721902055,0.455613797190652,0
0,0,33,False,early,4,0,0,0.18058247162928223,0.986556037400858,0.455613797190652,0
0,0,34,False,early,1,0,0,0.15917288836783497,0.9894601659570939,0.4170647208073426,0
0,0,34,False,early,2,0,0,0.15552467011678514,0.9907974705344086,0.4170647208073426,0
0,0,34,False,early,3,0,0,0.0644623113957037,0.998260102854035,0.4170647208073426,0
0,0,34,False,early,4,0,0,0.26342297513650786,0.9727996828592573,0.4170647208073426,0
0,0,35,False,early,1,0,0,0.0966140941208304,0.9961688388112814,0.4539528377095621,0
0,0,35,False,early,2,0,0,0.12709203278834602,0.9933081152729778,0.4539528377095621,0
0,0,35,False,early,3,0,0,0.10398138628155269,0.9959221708571274,0.4539528377095621,0
0,0,35,False,early,4,0,0,0.050489439354408784,0.9989622636942905,0.4539528377095621,0
0,0,36,False,early,1,0,0,0.04576412328145988,0.9991848609726808,0.47870177213431586,0
0,0,36,False,early,2,0,0,0.1327454644659042,0.9929293392279062,0.47870177213431586,0
0,0,36,False,early,3,0,0,0.12093163289671394,0.9940372999405441,0.47870177213431586,0
0,0,36,False,early,4,0,0,0.07768178261643933,0.9976922379842309,0.47870177213431586,0
0,0,37,False,early,1,0,0,0.01733067930062146,0.9998819059444648,0.4710030977596173,0
0,0,37,False,early,2,0,0,0.035482469432010576,0.9995025322327532,0.4710030977596173,0
0,0,37,False,early,3,0,0,0.12704998371258125,0.9934610542116022,0.4710030977596173,0
0,0,37,False,early,4,0,0,0.12168471741491228,0.9939222012244019,0.4710030977596173,0
0,0,38,False,early,1,0,0,0.03375445207268672,0.999554415472203,0.4528422352970403,0
0,0,38,False,early,2,0,0,0.05074494489078676,0.9989910647946797,0.4528422352970403,0
0,0,38,False,early,3,0,0,0.03643895447567313,0.9994493942283257,0.4528422352970403,0
0,0,38,False,early,4,0,0,0.11864551542083644,0.9941680109988992,0.4528422352970403,0
0,0,39,False,early,1,0,0,0.038074779871257264,0.9994194304681542,0.43367249785846196,0
