task_id,episode_index,control_step,episode_success,phase,target_lag1_exact,target_lag1_prefix,previous_dflash_exact,previous_dflash_prefix,continuous_l2,action_norm,pixel_relative_l2,prompt_cosine,gripper_switch,distant_continuous_l2
0,0,1,False,early,1,7,,,0.0,0.0508374936221709,0.007538993266287714,,0,0.424217862747385
0,0,2,False,early,0,0,,,0.2548410868579623,0.3034601746539035,0.011711068560008772,,0,0.5642715577905124
0,0,3,False,early,0,0,,,0.10154246292500446,0.26276325161524267,0.018918653905434835,,0,0.5232186482132569
0,0,4,False,early,0,0,,,0.21983750471125885,0.4427450693246603,0.025320569204288667,,0,0.6615844588716393
0,0,5,False,early,0,0,,,0.20152512094899896,0.41848244725271827,0.021918723196006785,,0,0.5745878775556472
0,0,6,False,early,0,0,,,0.35471450202423815,0.7022424179231795,0.032343945719009747,,0,0.7284018089293129
0,0,7,False,early,0,0,,,0.031434006249628214,0.7056251856396778,0.051138404394291695,,0,0.7197498569304764
0,0,8,False,early,0,0,,,0.15910538063749355,0.7132626408321924,0.026512960662868217,,0,0.8870155069021922
0,0,9,False,early,1,7,,,0.0,0.7132626408321924,0.018072517303661044,,0,0.8926830850303296
0,0,10,False,early,0,2,,,0.053846398334877296,0.704580194907065,0.023311390919929408,,0,0.6502049513198078
0,0,11,False,early,0,2,,,0.08287843707889837,0.6973080607945473,0.04322230152371389,,0,0.6817609174851329
0,0,12,False,early,1,7,,,0.0,0.6973080607945473,0.020477593367006268,,0,0.6817609174851329
0,0,13,False,early,0,0,,,0.10637650972219682,0.6358734832075051,0.06313991885234616,,0,0.7207595965604727
0,0,14,False,early,0,0,,,0.07114368381392672,0.6918347397549977,0.04215672129618944,,0,0.7816004720552026
0,0,15,False,early,0,4,,,0.011906333693337386,0.6915083566891167,0.04995095866628435,,0,0.8732427139021215
0,0,16,False,early,0,0,,,0.010032603083597484,0.6983234757592414,0.06452605680404036,,0,0.8794590284181918
0,0,17,False,early,0,1,,,0.01455237249330485,0.6993069007006295,0.05586745867645478,,0,0.9173155285088476
0,0,18,False,early,0,0,,,0.2169413207692966,0.5088449482771981,0.06463232635069695,,0,0.757411326156534
0,0,19,False,early,0,0,,,0.20933333514652325,0.6934270043362283,0.051453242550852804,,0,0.8711070499631125
0,0,20,False,early,0,0,,,0.007529846054151236,0.6871772997443687,0.05845354238601488,,0,0.922464094225436
0,0,21,False,early,1,7,,,0.0,0.6871772997443687,0.05252370139290842,,0,0.922464094225436
0,0,22,False,early,0,0,,,0.0379306577532522,0.6563689634781712,0.0314649674530831,,0,0.8343011442365543
