suite,task_id,episode_index,fork_step,candidate,hold_depth,branch_success,one_sided_harm,recovery_steps,correction_l2,minimum_reference_robot_l2,post_hold_state_l2,post_hold_eef_position_l2,post_hold_eef_rotation_l2,post_hold_gripper_l2,fork_state_linf,mean_action_norm,continuous_action_scales
libero_spatial,0,0,16,current_target_path,1,1,0,66,0.003008403263840026,0.0,0.0,0.0,0.0,0.0,0.0,1.1006868096928,[1.0]
libero_spatial,0,0,16,lag1_target,1,1,0,68,0.1566368276703675,0.002447969198304414,0.002506454324547468,0.0010404459863772822,0.002280303237230006,1.6052266074924537e-06,0.0,1.1243039824394168,[1.0]
libero_spatial,0,0,16,zero_motion,1,1,0,72,1.1006868096928,0.02168701222301082,0.017033016558672953,0.005281847183993197,0.01619337921414424,1.4595886110611765e-05,0.0,0.0,[1.0]
libero_spatial,0,0,16,same_norm_random,1,0,1,203,1.510442876826135,0.07093756435355304,0.0379113923590676,0.012401883043469833,0.03582479185921686,0.00022639748906316224,0.0,1.1243039824394168,[1.0]
libero_spatial,0,0,16,lag2_target,1,1,0,68,0.1566368276703675,0.002447969198304414,0.002506454324547468,0.0010404459863772822,0.002280303237230006,1.6052266074924537e-06,0.0,1.1243039824394168,[1.0]
libero_spatial,0,0,16,lag1_harmonic,1,1,0,68,0.1566368276703675,0.002447969198304414,0.002506454324547468,0.0010404459863772822,0.002280303237230006,1.6052266074924537e-06,0.0,1.1243039824394168,[1.0]
libero_spatial,0,0,16,current_target_path,2,1,0,65,0.15464750024243726,0.0,0.0,0.0,0.0,0.0,0.0,1.1006600282230394,"[1.0,1.0]"
libero_spatial,0,0,16,lag1_target,2,1,0,67,0.2918970998894366,0.005591224517970099,0.006827944257697734,0.0029669153810512397,0.006149652886698801,2.298048330074847e-06,0.0,1.1243039824394168,"[1.0,1.0]"
libero_spatial,0,0,16,zero_motion,2,1,0,67,1.0832716719866597,0.02216810635378911,0.040750615239186674,0.014901970920241878,0.03792813455070529,2.2684093417096953e-05,0.0,0.0,"[1.0,1.0]"
libero_spatial,0,0,16,same_norm_random,2,0,1,202,1.528896266433197,0.16573050924338717,0.11494350501282335,0.031177639334351494,0.1106341096130167,0.00024070792478295337,0.0,1.1243039824394168,"[1.0,1.0]"
libero_spatial,0,0,16,lag2_target,2,1,0,67,0.2918970998894366,0.005591224517970099,0.006827944257697734,0.0029669153810512397,0.006149652886698801,2.298048330074847e-06,0.0,1.1243039824394168,"[1.0,1.0]"
libero_spatial,0,0,16,lag1_harmonic,2,1,0,74,0.5494992798797532,0.007307205851182938,0.007617081560819399,0.0037189929099097877,0.00664747709765046,8.454373320249616e-06,0.0,0.8432279868295626,"[1.0,0.5]"
libero_spatial,0,0,16,current_target_path,3,1,0,64,0.24539102805992727,0.0,0.0,0.0,0.0,0.0,0.0,1.0832871445709162,"[1.0,1.0,1.0]"
libero_spatial,0,0,16,lag1_target,3,1,0,65,0.7224569064333839,0.008666403207587011,0.012793376636923143,0.005763323161384444,0.01142167198899777,9.420001477538827e-07,0.0,1.1243039824394168,"[1.0,1.0,1.0]"
